Date,Close Price
2020-04-23,118.73
2020-04-23,118.73
2020-04-24,118.73
2020-04-24,118.73
2020-04-27,118.73
2020-04-27,118.73
2020-04-28,118.73
2020-04-28,118.73
2020-04-29,118.73
2020-04-29,118.73
2020-04-30,118.73
2020-04-30,118.73
2020-05-01,118.73
2020-05-01,118.73
2020-05-04,118.73
2020-05-04,118.73
2020-05-05,118.73
2020-05-05,118.73
2020-05-06,118.73
2020-05-06,118.73
2020-05-07,118.73
2020-05-07,118.73
2020-05-08,118.73
2020-05-08,118.73
2020-05-11,118.73
2020-05-11,118.73
2020-05-12,118.73
2020-05-12,118.73
2020-05-13,118.73
2020-05-13,118.73
2020-05-14,118.73
2020-05-14,118.73
2020-05-15,118.73
2020-05-15,118.73
2020-05-18,118.73
2020-05-18,118.73
2020-05-19,118.73
2020-05-19,118.73
2020-05-20,118.73
2020-05-20,118.73
2020-05-21,118.73
2020-05-21,118.73
2020-05-22,118.73
2020-05-22,118.73
2020-05-25,118.73
2020-05-25,118.73
2020-05-26,118.73
2020-05-26,118.73
2020-05-27,118.73
2020-05-27,118.73
2020-05-28,118.73
2020-05-28,118.73
2020-05-29,118.73
2020-05-29,118.73
2020-06-01,118.73
2020-06-01,118.73
2020-06-02,118.73
2020-06-02,118.73
2020-06-03,118.73
2020-06-03,118.73
2020-06-04,118.73
2020-06-04,118.73
2020-06-08,118.73
2020-06-08,118.73
2020-06-09,118.73
2020-06-09,118.73
2020-06-10,118.73
2020-06-10,118.73
2020-06-11,118.73
2020-06-11,118.73
2020-06-12,118.73
2020-06-12,118.73
2020-06-15,118.73
2020-06-15,118.73
2020-06-16,118.73
2020-06-16,118.73
2020-06-17,118.73
2020-06-17,118.73
2020-06-18,118.73
2020-06-18,118.73
2020-06-19,118.73
2020-06-19,118.73
2020-06-22,118.73
2020-06-22,118.73
2020-06-23,118.73
2020-06-23,118.73
2020-06-24,118.73
2020-06-24,118.73
2020-06-25,118.73
2020-06-25,118.73
2020-06-26,118.73
2020-06-26,118.73
2020-06-29,118.73
2020-06-29,118.73
2020-07-01,118.73
2020-07-01,118.73
2020-07-02,118.73
2020-07-02,118.73
2020-07-03,118.73
2020-07-03,118.73
2020-07-06,118.73
2020-07-06,118.73
2020-07-07,118.73
2020-07-07,118.73
2020-07-08,118.73
2020-07-08,118.73
2020-07-09,118.73
2020-07-09,118.73
2020-07-10,118.73
2020-07-10,118.73
2020-07-13,118.73
2020-07-13,118.73
2020-07-14,118.73
2020-07-14,118.73
2020-07-15,118.73
2020-07-15,118.73
2020-07-16,118.73
2020-07-16,118.73
2020-07-17,118.73
2020-07-17,118.73
2020-07-20,118.73
2020-07-20,118.73
2020-07-21,118.73
2020-07-21,118.73
2020-07-22,118.73
2020-07-22,118.73
2020-07-23,118.73
2020-07-23,118.73
2020-07-27,118.73
2020-07-27,118.73
2020-07-28,118.73
2020-07-28,118.73
2020-07-29,118.73
2020-07-29,118.73
2020-07-30,118.73
2020-07-30,118.73
2020-07-31,118.73
2020-07-31,118.73
2020-08-03,118.73
2020-08-03,118.73
2020-08-04,118.73
2020-08-04,118.73
2020-08-05,118.73
2020-08-05,118.73
2020-08-06,118.73
2020-08-06,118.73
2020-08-07,118.73
2020-08-07,118.73
2020-08-10,118.73
2020-08-10,118.73
2020-08-10,118.73
2020-08-10,118.73
2020-08-10,118.73
2020-08-11,118.73
2020-08-11,118.73
2020-08-11,118.73
2020-08-11,118.73
2020-08-11,118.73
2020-08-12,118.73
2020-08-12,118.73
2020-08-12,118.73
2020-08-12,118.73
2020-08-12,118.73
2020-08-13,118.73
2020-08-13,118.73
2020-08-13,118.73
2020-08-13,118.73
2020-08-13,118.73
2020-08-14,118.73
2020-08-14,118.73
2020-08-14,118.73
2020-08-14,118.73
2020-08-14,118.73
2020-08-17,118.73
2020-08-17,118.73
2020-08-17,118.73
2020-08-17,118.73
2020-08-17,118.73
2020-08-18,118.73
2020-08-18,118.73
2020-08-18,118.73
2020-08-18,118.73
2020-08-18,118.73
2020-08-19,118.73
2020-08-19,118.73
2020-08-19,118.73
2020-08-19,118.73
2020-08-19,118.73
2020-08-20,118.73
2020-08-20,118.73
2020-08-20,118.73
2020-08-20,118.73
2020-08-20,118.73
2020-08-21,118.73
2020-08-21,118.73
2020-08-21,118.73
2020-08-21,118.73
2020-08-21,118.73
2020-08-24,118.73
2020-08-24,118.73
2020-08-24,118.73
2020-08-24,118.73
2020-08-24,118.73
2020-08-25,118.73
2020-08-25,118.73
2020-08-25,118.73
2020-08-25,118.73
2020-08-25,118.73
2020-08-26,118.73
2020-08-26,118.73
2020-08-26,118.73
2020-08-26,118.73
2020-08-26,118.73
2020-08-27,118.73
2020-08-27,118.73
2020-08-27,118.73
2020-08-27,118.73
2020-08-27,118.73
2020-08-28,118.73
2020-08-28,118.73
2020-08-28,118.73
2020-08-28,118.73
2020-08-28,118.73
2020-08-31,118.73
2020-08-31,118.73
2020-08-31,118.73
2020-08-31,118.73
2020-08-31,118.73
2020-09-01,118.73
2020-09-01,118.73
2020-09-01,118.73
2020-09-01,118.73
2020-09-01,118.73
2020-09-02,118.73
2020-09-02,118.73
2020-09-02,118.73
2020-09-02,118.73
2020-09-02,118.73
2020-09-03,118.73
2020-09-03,118.73
2020-09-03,118.73
2020-09-03,118.73
2020-09-03,118.73
2020-09-04,118.73
2020-09-04,118.73
2020-09-04,118.73
2020-09-04,118.73
2020-09-04,118.73
2020-09-07,118.73
2020-09-07,118.73
2020-09-07,118.73
2020-09-07,118.73
2020-09-07,118.73
2020-09-08,118.73
2020-09-08,118.73
2020-09-08,118.73
2020-09-08,118.73
2020-09-08,118.73
2020-09-09,118.73
2020-09-09,118.73
2020-09-09,118.73
2020-09-09,118.73
2020-09-09,118.73
2020-09-10,118.73
2020-09-10,118.73
2020-09-10,118.73
2020-09-10,118.73
2020-09-10,118.73
2020-09-11,118.73
2020-09-11,118.73
2020-09-11,118.73
2020-09-11,118.73
2020-09-11,118.73
2020-09-14,118.73
2020-09-14,118.73
2020-09-14,118.73
2020-09-14,118.73
2020-09-14,118.73
2020-09-15,118.73
2020-09-15,118.73
2020-09-15,118.73
2020-09-15,118.73
2020-09-15,118.73
2020-09-16,118.73
2020-09-16,118.73
2020-09-16,118.73
2020-09-16,118.73
2020-09-16,118.73
2020-09-17,118.73
2020-09-17,118.73
2020-09-17,118.73
2020-09-17,118.73
2020-09-17,118.73
2020-09-18,118.73
2020-09-18,118.73
2020-09-18,118.73
2020-09-18,118.73
2020-09-18,118.73
2020-09-21,118.73
2020-09-21,118.73
2020-09-21,118.73
2020-09-21,118.73
2020-09-21,118.73
2020-09-24,118.73
2020-09-24,118.73
2020-09-24,118.73
2020-09-24,118.73
2020-09-24,118.73
2020-09-25,118.73
2020-09-25,118.73
2020-09-25,118.73
2020-09-25,118.73
2020-09-25,118.73
2020-09-29,118.73
2020-09-29,118.73
2020-09-29,118.73
2020-09-29,118.73
2020-09-29,118.73
2020-09-30,118.73
2020-09-30,118.73
2020-09-30,118.73
2020-09-30,118.73
2020-09-30,118.73
2020-10-01,118.73
2020-10-01,118.73
2020-10-01,118.73
2020-10-01,118.73
2020-10-01,118.73
2020-10-02,118.73
2020-10-02,118.73
2020-10-02,118.73
2020-10-02,118.73
2020-10-02,118.73
2020-10-05,118.73
2020-10-05,118.73
2020-10-05,118.73
2020-10-05,118.73
2020-10-05,118.73
2020-10-06,118.73
2020-10-06,118.73
2020-10-06,118.73
2020-10-06,118.73
2020-10-06,118.73
2020-10-07,118.73
2020-10-07,118.73
2020-10-07,118.73
2020-10-07,118.73
