Date,Close Price
2020-04-23,58.19
2020-04-23,58.19
2020-04-24,58.19
2020-04-24,58.19
2020-04-27,58.19
2020-04-27,58.19
2020-04-28,58.19
2020-04-28,58.19
2020-04-29,58.19
2020-04-29,58.19
2020-04-30,58.19
2020-04-30,58.19
2020-05-01,58.19
2020-05-01,58.19
2020-05-04,58.19
2020-05-04,58.19
2020-05-05,58.19
2020-05-05,58.19
2020-05-06,58.19
2020-05-06,58.19
2020-05-07,58.19
2020-05-07,58.19
2020-05-08,58.19
2020-05-08,58.19
2020-05-11,58.19
2020-05-11,58.19
2020-05-12,58.19
2020-05-12,58.19
2020-05-13,58.19
2020-05-13,58.19
2020-05-14,58.19
2020-05-14,58.19
2020-05-15,58.19
2020-05-15,58.19
2020-05-18,58.19
2020-05-18,58.19
2020-05-19,58.19
2020-05-19,58.19
2020-05-20,58.19
2020-05-20,58.19
2020-05-21,58.19
2020-05-21,58.19
2020-05-22,58.19
2020-05-22,58.19
2020-05-25,58.19
2020-05-25,58.19
2020-05-26,58.19
2020-05-26,58.19
2020-05-27,58.19
2020-05-27,58.19
2020-05-28,58.19
2020-05-28,58.19
2020-05-29,58.19
2020-05-29,58.19
2020-06-01,58.19
2020-06-01,58.19
2020-06-02,58.19
2020-06-02,58.19
2020-06-03,58.19
2020-06-03,58.19
2020-06-04,58.19
2020-06-04,58.19
2020-06-08,58.19
2020-06-08,58.19
2020-06-09,58.19
2020-06-09,58.19
2020-06-10,58.19
2020-06-10,58.19
2020-06-11,58.19
2020-06-11,58.19
2020-06-12,58.19
2020-06-12,58.19
2020-06-15,58.19
2020-06-15,58.19
2020-06-16,58.19
2020-06-16,58.19
2020-06-17,58.19
2020-06-17,58.19
2020-06-18,58.19
2020-06-18,58.19
2020-06-19,58.19
2020-06-19,58.19
2020-06-22,58.19
2020-06-22,58.19
2020-06-23,58.19
2020-06-23,58.19
2020-06-24,58.19
2020-06-24,58.19
2020-06-25,58.19
2020-06-25,58.19
2020-06-26,58.19
2020-06-26,58.19
2020-06-29,58.19
2020-06-29,58.19
2020-07-01,58.19
2020-07-01,58.19
2020-07-02,58.19
2020-07-02,58.19
2020-07-03,58.19
2020-07-03,58.19
2020-07-06,58.19
2020-07-06,58.19
2020-07-07,58.19
2020-07-07,58.19
2020-07-08,58.19
2020-07-08,58.19
2020-07-09,58.19
2020-07-09,58.19
2020-07-10,58.19
2020-07-10,58.19
2020-07-13,58.19
2020-07-13,58.19
2020-07-14,58.19
2020-07-14,58.19
2020-07-15,58.19
2020-07-15,58.19
2020-07-16,58.19
2020-07-16,58.19
2020-07-17,58.19
2020-07-17,58.19
2020-07-20,58.19
2020-07-20,58.19
2020-07-21,58.19
2020-07-21,58.19
2020-07-22,58.19
2020-07-22,58.19
2020-07-23,58.19
2020-07-23,58.19
2020-07-27,58.19
2020-07-27,58.19
2020-07-28,58.19
2020-07-28,58.19
