Date,Close,session,daily_frequency,intra_change,intra_return,dividend_event,dividend_percent,bonus_event,agm_event,days_to_dividend,days_after_dividend,same_day_dividend_event,post_dividend_7day_window,days_since_dividend_announcement,strong_dividend,announcement_sentiment_score,announcement_sentiment_confidence,finbert_event_importance_score,Company,return_1,return_2,return_3,return_5,log_return_1,log_return_2,log_return_3,sma_3,ema_3,sma_5,ema_5,sma_10,ema_10,momentum_3,momentum_5,momentum_10,velocity,acceleration,volatility_3,volatility_5,volatility_10,rsi_7,macd,macd_signal,bb_upper,bb_lower,month,day_of_week,dividend_season,high_activity_day,positive_sentiment_event,negative_sentiment_event,sentiment_weighted_importance,event_activity_score,event_impact_score,post_dividend_momentum,event_volatility,dividend_reaction_strength,sentiment_event_momentum,future_close_week,future_close_month,target,target_class
2020-04-23,15.7,0,2,0.0,0.0,0,0.0,0,0,-1,-1,0,0,-1,0,0.0,0.0,0.0,DPL,0.0,0.024840764331210297,0.050318471337579496,0.05414012738853513,0.0,0.02453724865002957,0.049093424217245045,15.7,15.7,15.7,15.7,15.7,15.7,0.7899999999999991,0.8500000000000014,1.1500000000000021,0.0,0.39000000000000057,0.017565072908455714,0.017565072908455714,0.017565072908455714,50.0,0.0,0.0,15.7,15.7,4,3,1,0,0,0,0.0,2,0.1,0.0,0.0,0.2,0.0,16.85,15.65,UP,2.0
2020-04-23,15.7,1,2,0.0,0.0,0,0.0,0,0,-1,-1,0,0,-1,0,0.0,0.0,0.0,DPL,0.0,0.024840764331210297,0.050318471337579496,0.05414012738853513,0.0,0.02453724865002957,0.049093424217245045,15.7,15.7,15.7,15.7,15.7,15.7,0.7899999999999991,0.8500000000000014,1.1500000000000021,0.0,0.39000000000000057,0.017565072908455714,0.017565072908455714,0.017565072908455714,50.0,0.0,0.0,15.7,15.7,4,3,1,0,0,0,0.0,2,0.1,0.0,0.0,0.2,0.0,16.5,15.65,UP,2.0
2020-04-24,16.09,0,2,0.0,0.0,0,0.0,0,0,-1,-1,0,0,-1,0,0.0,0.0,0.0,DPL,0.024840764331210297,0.024840764331210297,0.050318471337579496,0.05414012738853513,0.02453724865002957,0.02453724865002957,0.049093424217245045,15.829999999999998,15.895,15.829999999999998,15.83,15.829999999999998,15.77090909090909,0.7899999999999991,0.8500000000000014,1.1500000000000021,0.39000000000000057,0.39000000000000057,0.017565072908455714,0.017565072908455714,0.017565072908455714,50.0,0.031111111111110645,0.006222222222222129,16.280333209967907,15.37966679003209,4,4,1,0,0,0,0.0,2,0.1,0.0,0.0,0.2,0.0,16.5,15.65,UP,2.0
2020-04-24,16.49,1,2,0.3999999999999986,0.0248601615910502,0,0.0,0,0,-1,-1,0,0,-1,0,0.0,0.0,0.0,DPL,0.0248601615910502,0.050318471337579496,0.050318471337579496,0.05414012738853513,0.024556175567215555,0.049093424217245045,0.049093424217245045,16.093333333333334,16.1925,15.995,16.05,15.995,15.901652892561982,0.7899999999999991,0.8500000000000014,1.1500000000000021,0.3999999999999986,0.00999999999999801,0.014347424758155187,0.014347424758155187,0.014347424758155187,50.0,0.08704020259575707,0.022385818296929115,16.75051307070096,15.239486929299037,4,4,1,0,0,0,0.0,2,0.1,0.0,0.0,0.2,0.0,16.4,15.65,DOWN,0.0
2020-04-27,16.49,0,2,0.0,0.0,0,0.0,0,0,-1,-1,0,0,-1,0,0.0,0.0,0.0,DPL,0.0,0.0248601615910502,0.050318471337579496,0.05414012738853513,0.0,0.024556175567215555,0.049093424217245045,16.356666666666666,16.34125,16.094,16.196666666666665,16.094,16.008625093914347,0.7899999999999991,0.8500000000000014,1.1500000000000021,0.0,-0.3999999999999986,0.014347424758155187,0.014347423665468666,0.014347423665468666,50.0,0.12986738022508604,0.0438821306825605,16.884012658126437,15.303987341873563,4,0,1,0,0,0,0.0,2,0.1,0.0,0.0,0.2,0.0,16.0,15.65,DOWN,0.0
2020-04-27,16.55,1,2,0.060000000000002274,0.0036385688295939023,0,0.0,0,0,-1,-1,0,0,-1,0,0.0,0.0,0.0,DPL,0.0036385688295939023,0.0036385688295939023,0.02858918582970804,0.05414012738853513,0.0036319652515645813,0.0036319652515645813,0.02818814081878021,16.51,16.445625,16.264,16.314444444444444,16.169999999999998,16.10705689502083,0.46000000000000085,0.8500000000000014,1.1500000000000021,0.060000000000002274,0.060000000000002274,0.013426483883193407,0.013031788537485262,0.013031788537485262,50.0,0.16672779141359229,0.06845126282876686,16.968698942030098,15.371301057969898,4,0,1,0,0,0,0.0,2,0.1,0.0,0.0,0.2,0.0,16.4,15.65,DOWN,0.0
2020-04-28,16.9,0,2,0.0,0.0,0,0.0,0,0,-1,-1,0,0,-1,0,0.0,0.0,0.0,DPL,0.02114803625377637,0.024863553668890148,0.024863553668890148,0.07643312101910826,0.02092752010595582,0.02455948535752017,0.02455948535752017,16.646666666666665,16.6728125,16.504,16.50962962962963,16.274285714285714,16.251228368653404,0.41000000000000014,1.1999999999999993,1.1500000000000021,0.34999999999999787,0.2899999999999956,0.011306783141085698,0.012102596543176473,0.012416422846575325,50.0,0.22162722705799354,0.0990864556746122,17.188678565151406,15.359892863420022,4,1,1,0,0,0,0.0,2,0.1,0.0,0.0,0.2,0.0,16.0,15.65,DOWN,0.0
2020-04-28,16.49,1,2,-0.41000000000000014,-0.02426035502958579,0,0.0,0,0,-1,-1,0,0,-1,0,0.0,0.0,0.0,DPL,-0.02426035502958579,-0.003625377643504679,0.0,0.0248601615910502,-0.024559485357520245,-0.003631965251564521,0.0,16.646666666666665,16.58140625,16.584,16.50308641975309,16.30125,16.2946413925346,0.0,0.3999999999999986,1.1500000000000021,-0.41000000000000014,-0.759999999999998,0.02290143154521762,0.019609800494734823,0.01790595363112263,74.5341614906832,0.2294073863000925,0.12515064179970828,17.161445160580268,15.441054839419731,4,1,1,0,0,0,0.0,2,0.1,-0.0,0.0,0.2,-0.0,16.0,15.65,DOWN,0.0
2020-04-29,16.49,0,2,0.0,0.0,0,0.0,0,0,-1,-1,0,0,-1,0,0.0,0.0,0.0,DPL,0.0,-0.02426035502958579,-0.003625377643504679,0.0,0.0,-0.024559485357520245,-0.003631965251564521,16.626666666666665,16.535703124999998,16.584,16.498724279835393,16.32222222222222,16.33016113934649,-0.060000000000002274,0.0,1.1500000000000021,0.0,0.41000000000000014,0.022721965373090375,0.016194042568615,0.01677067382050356,74.5341614906832,0.2328886234692611,0.14669823813361885,17.136640896969904,15.507803547474532,4,2,1,0,0,0,0.0,2,0.1,0.0,0.0,0.2,0.0,16.0,15.27,DOWN,0.0
2020-04-29,16.49,1,2,0.0,0.0,0,0.0,0,0,-1,-1,0,0,-1,0,0.0,0.0,0.0,DPL,0.0,0.0,-0.02426035502958579,0.0,0.0,0.0,-0.024559485357520245,16.49,16.512851562499996,16.583999999999996,16.49581618655693,16.339,16.3592227503744,-0.41000000000000014,0.0,1.1500000000000021,0.0,0.0,0.014006722506967242,0.016194042568615,0.015826508474541416,66.39344262295077,0.23296208708078225,0.16395100792305153,17.114138697266494,15.563861302733503,4,2,1,0,0,0,0.0,2,0.1,0.0,0.0,0.2,0.0,15.65,15.27,DOWN,0.0
